Message,Label
"Требуется человек, чтобы убрать гараж — собрать мусор, разложить вещи. Занятие на пару часов, оплата 2400 руб наличными.",1
Срочно ищу помощника: вынести старый мусор и коробки из гаража. Время — 2 часа. Оплата 2400 руб на месте.,1
"Помощь в гараже: перенести инструменты и коробки на полки. Работа лёгкая, но физическая. На 2 часа, оплата 2400 руб сразу.",1
"Идёт набор людей для удалённой деятельности на Bybit!
✅Полностью прозрачно и легально.
✅Обучаем людей без опыта.
✅Подойдёт почти каждому.
Пиши - @Bykovva_S",1
"Для тех, кто ищет удалёнку с хорошими условиями, есть отличное предложение.

Напишите - @Valeriiia_Maslova. Занятость пару часов, подойдёт как временная подработка. Все детали расскажу в личных сообщениях.",1
"СРОЧНО! СРОЧНО! СРОЧНО!НУЖНЫ НАДЁЖНЫЕ ЛЮДИ В КОМАНДУ!

Гарантированный доход от 500$/неделю.
Всё легально, всё прозрачно.
А так же гибкий график, можно совмещать с основным родом деятельности, или учёбой.

Главное быть совершеннолетним.

📩 Пиши Камилле 👉🏻 @KamillaSerebryanskaya
за подробностями!",1
"ВОЗЬМУ 2 удаленщика
1200 долларов в неделю.
Дистанционная деятельность.
Стабильно и легально!
За подробностями пишите @orlovaalis",1
"СРОЧНО! СРОЧНО! СРОЧНО!
Tребуются 2 человека.
Прибыль от 900$ в неделю. Удаленно.
За подробностями @Alexandra_Sukharevaa в ЛС",1
"Ищу тех, кто хочет зарабатывать хорошие деньги из любой точки мира. Всё легально, удалённо, опыт не требуется. Писать: @Polinaa_lifee.",1
"Приветствую! Требуются помощники в арт-мастерскую — немного порядка, разложить материалы. Пару часов в день. Жду в лс.",1
"СРОЧНО! СРОЧНО! СРОЧНО!
НУЖНЫ НАДЁЖНЫЕ ЛЮДИ В КОМАНДУ!

Гарантированный доход от 500$/неделю.
Всё легально, всё прозрачно.
А так же гибкий график, можно совмещать с основным родом деятельности, или учёбой.

Главное быть совершеннолетним.

📩 Пиши Камилле 👉🏻 @KamillaSerebryanskaya
за подробностями!",1
"Помыть витрину и полки, расставить товар аккуратно. 1,5 часа — 4000 руб. Если хотите подробностей, лучше написать в личку — там распишу по шагам формат работы и оплаты.",1
"СРОЧНО НУЖНЫ ОТВЕТСТВЕННЫЕ ЛЮДИ В КОМАНДУ! . Онлайн-занятость. Приличный доход. Всё с телефона. Пиши  ""+"" @Alexandra_Sukharevaa в ЛС!",1
"Кому нужны деньги обращайтесь , работы на 2 часа , ничего сложного нету . По сути, это простые бытовые задачи, ничего сложного. Подойдёт тем, кто не боится немного поработать руками.",1
"ИЩУ ЛЮДЕЙ НА УДАЛЁННЫЙ ЗАРАБОТОК, БЕЗ ОПЫТА! ПИШИ В ЛС @money_start. Если хотите подробностей, лучше написать в личку — там распишу по шагам формат работы и оплаты.",1
"Нужны сотрудники в онлайн-команду, доход от 1000$ в месяц, всё легально, пиши в личку. График можно обсуждать, всё достаточно гибко. Оплату озвучиваем заранее, без сюрпризов.",1
"Устал жить от зп до зп? Научу зарабатывать из дома, ставь + в ЛС. По сути, это простые бытовые задачи, ничего сложного. Подойдёт тем, кто не боится немного поработать руками.",1
